ID,Apellidos,Nombre,Dirección,Población,Teléfono,Móvil,Email,Observaciones,Sexo,Fecha Nacimiento,Estado Civil,Personas dependientes ,Desempleado,Profesión,Nivel académico,Ingresos mensuales,Ahorros,Peso Kg,Altura,Cabello,Ojos,Fumador,Salud,Afición1,Afición2,Característica1,Característica2,Valora1,Valora2,Fobias,Sexualidad,Disponible
72,ALEU PRAT,JOAN,"CERVANTES , 1, 1R.",Pasto,938770878,,melquíades@hotmail.com,,Hombre,02/02/1969,Otros,0,FALSO,,EGB,"$1,500,000.00",,93,1.83,Calvo,Azules,FALSO,Buena,Cine,TV,Alegría,Realismo,Romanticismo,Sinceridad,,Heterosexual,VERDADERO
73,VALLÉS GIRVENT,ALEXIA,"CERVANTES , 9, 1R.",Bogotá ,936874511,###############################################################################################################################################################################################################################################################,merche@terra.es,,Mujer,16/03/1964,Soltero/a,2,VERDADERO,Contable,Diplomado/a,"$600,000.00",39700,53,1.67,Calvo,Azules,FALSO,Regular,Música,Cine,Fortaleza,Alegría,Sinceridad,Serenidad,Los perros,Heterosexual,VERDADERO
74,MOLINA GARRIDO,FERRAN,"JOAN XXIII , 39",Pasto,936548745,###############################################################################################################################################################################################################################################################,midas@cataloniamail.com,,Hombre,21/06/1964,Soltero/a,2,VERDADERO,Dependiente/a,EGB,"$500,000.00",36100,59,1.81,Calvo,Otro,VERDADERO,Excelente,Música,Caminar,Buen Humor,Realismo,Fortaleza,Serenidad,Los perros,Homosexual,FALSO
75,ARISSA HERMOSO,CRISTINA,"DOCTOR BARNARD , 10",Bogotá ,938755512,###############################################################################################################################################################################################################################################################,mona lisa@minorisa.es,,Mujer,19/11/1957,Soltero/a,4,FALSO,,Bachillerato,"$1,000,000.00",,75,1.74,Castaño,Azules,FALSO,Buena,Deporte,Cine,Ternura,Sinceridad,Buen Humor,Sencillez,,No declarada,FALSO
76,BARALDÉS PARDO,JOSÉ ANTONIO,"ESPORTS , 12",Medellín,938722096,,moro@minorisa.es,,Hombre,30/11/1966,Separado/a,5,FALSO,Asesor/a fiscal,Elementales,"$1,500,000.00",,97,1.59,Calvo,Otro,VERDADERO,Regular,Música,Cine,Realismo,Sinceridad,Romanticismo,Alegría,,No declarada,VERDADERO
77,SUAREZ GARZÓN,JORDI,"DE LA PAU , 8",Bogotá ,934512544,,mozart@wandoo.es,,Hombre,03/09/1960,Soltero/a,0,FALSO,Taxista,EGB,"$1,600,000.00",,108,1.85,Castaño,Negros,FALSO,Regular,Lectura,Deporte,Serenidad,Fortaleza,Serenidad,Romanticismo,,Heterosexual,VERDADERO
78,ARPA MORENO,BEGONYA,"SANT VALENTÍ , 11",Barranquilla,###############################################################################################################################################################################################################################################################,,,,Mujer,28/10/1964,Otros,5,FALSO,Dependiente/a,Elementales,"$800,000.00",,106,1.8,Castaño,Verdes,VERDADERO,Buena,Música,TV,Alegría,Romanticismo,Serenidad,Fortaleza,,Bisexual,VERDADERO
79,ALOY FARRANDO,INGRID,"PROL. PADRÓ , 1, 2N., 2A.",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Mujer,14/04/1959,Separado/a,0,FALSO,Representante,EGB,$0.00,,93,1.82,Pelirrojo,Otro,FALSO,Regular,TV,Lectura,Inteligencia,Buen Humor,Sencillez,Inteligencia,,Bisexual,VERDADERO
80,LUQUE GARRIGASAIT,MIQUEL,"VIC , 30 (TORROELLA)",Bogotá ,933256844,###############################################################################################################################################################################################################################################################,napoleon@cidet.com,,Hombre,20/09/1967,Divorciado/a,1,FALSO,Taxista,Licenciado/a,"$1,000,000.00",,93,1.64,Rubio,Azules,FALSO,Buena,Caminar,Cine,Alegría,Inteligencia,Sencillez,Realismo,,Heterosexual,FALSO
81,RIDÓ GÓMEZ,AGUSTÍ,"SANT ISCLE , 6",Barranquilla,936528779,,orondo@altecom.es,,Hombre,24/05/1966,Casado/a,5,FALSO,Contable,FP,"$1,000,000.00",,79,1.59,Pelirrojo,Negros,FALSO,Regular,Cine,Caminar,Sinceridad,Ternura,Sinceridad,Buen Humor,Los fumadores,Bisexual,VERDADERO
82,SANTAMARIA FLOTATS,ANTONI,"JAUME BALMES , 70, 3R, 1A.",Bogotá ,931021886,,papagayo@altecom.es,,Hombre,31/05/1967,Soltero/a,5,VERDADERO,Profesor/a,EGB,"$400,000.00",95000,89,1.84,Otros,Otro,FALSO,Buena,Caminar,Cine,Ternura,Romanticismo,Sinceridad,Inteligencia,Los niños,Homosexual,VERDADERO
83,HERMS GÓMEZ,JOAN,"GERMAN DURAN , 27, 3R., 1A.",Pasto,936201457,658955442,,,Hombre,21/10/1958,Divorciado/a,4,FALSO,Camarero/a,EGB,$0.00,,81,1.71,Pelirrojo,Otro,VERDADERO,Buena,Música,TV,Sinceridad,Buen Humor,Realismo,Romanticismo,,Heterosexual,FALSO
84,ARTIGAS MATURANO,MÒNICA,"SANT JOAN , 11",Bogotá ,938207515,,pasión@altecom.es,,Mujer,03/10/1959,Separado/a,5,FALSO,Funcionario/a,EGB,"$140,000.00",,100,1.86,Otros,Otro,FALSO,Regular,Cine,Lectura,Ternura,Sencillez,Alegría,Ternura,Los entierros,Heterosexual,VERDADERO
85,AGUILAR MASANA,GERARD,"PUIG , 1",Medellín,938208558,,,,Hombre,23/05/1961,Casado/a,3,FALSO,Arquitecto/a,Elementales,"$300,000.00",,83,1.84,Rubio,Marrones,VERDADERO,Fatal,Música,Cine,Ternura,Sinceridad,Buen Humor,Ternura,,No declarada,VERDADERO
86,ALTIMIRAS SERAROLS,GEMMA,"PROL. JACINT VERDAGUER , 1, 2N., 2A.",Bogotá ,938300496,,pelusa@hotmail.com,,Mujer,16/01/1961,Casado/a,3,FALSO,Funcionario/a,Bachillerato,"$1,300,000.00",,89,1.76,Calvo,Azules,FALSO,Buena,Caminar,TV,Serenidad,Inteligencia,Sinceridad,Ternura,Los dibujos animados,Homosexual,VERDADERO
87,TORRESCASANA GARCIA,MARIA,"RAMON I CAJAL , 81, 2N.",Bogotá ,930120545,625458445,perla@cataloniamail.com,,Mujer,29/10/1957,Divorciado/a,2,FALSO,Asesor/a fiscal,FP,"$4,000,000.00",,63,1.77,Pelirrojo,Negros,VERDADERO,Excelente,Caminar,Música,Realismo,Sencillez,Serenidad,Realismo,Los niños,Heterosexual,VERDADERO
88,ARIZA PUIGBÓ,ORIOL,"MORAGUES , 10",Pasto,938207095,,,Ex-presidiario,Hombre,05/12/1967,Casado/a,5,VERDADERO,Dependiente/a,Elementales,"$900,000.00",76400,79,1.7,Negro,Negros,FALSO,Regular,Cine,TV,Inteligencia,Ternura,Alegría,Realismo,Los entierros,Homosexual,VERDADERO
89,ALVAREZ ARMENTEROS,VIRGINIA,"PROL. PADRÓ , 1, 3R., 2A.",Bogotá ,938300214,,,,Mujer,30/10/1965,Separado/a,4,FALSO,Conductor/a,Bachillerato,$0.00,,66,1.82,Negro,Marrones,FALSO,Regular,Deporte,Música,Romanticismo,Sinceridad,Sinceridad,Inteligencia,,Heterosexual,VERDADERO
90,BARALDÉS TARRAGÓ,DAMIÀ,"FRANCESC DE VITÒRIA , 11, 4T 2A",Bogotá ,938727244,625410101,psicosis@intercom.es,,Hombre,19/05/1969,Divorciado/a,3,VERDADERO,Camarero/a,EGB,"$1,600,000.00",103400,101,1.64,Castaño,Negros,FALSO,Buena,TV,Deporte,Fortaleza,Buen Humor,Realismo,Sinceridad,,Homosexual,FALSO
91,GARCIA GARCÍA,VALENTÍ,"ALBÉNIZ , 22, 2N.",Pasto,936565874,,,Mucha discreción,Hombre,14/07/1964,Separado/a,2,FALSO,Camarero/a,FP,"$400,040.00",,108,1.65,Otros,Azules,FALSO,Regular,Deporte,Lectura,Sinceridad,Fortaleza,Serenidad,Sinceridad,,Homosexual,VERDADERO
92,AROCA GÓMEZ,AINA,"TRES ROURES , 10, 4T 2A",Bogotá ,938205782,632514125,rebeca@cataloniamail.com,,Mujer,29/01/1964,Separado/a,1,FALSO,,FP,"$400,000.00",,95,1.75,Pelirrojo,Otro,VERDADERO,Buena,Deporte,Cine,Serenidad,Inteligencia,Romanticismo,Ternura,,Homosexual,VERDADERO
93,ALONSO RODRIGUEZ,DAVID,"PROL. PADRÓ , 1, 2N., 1A.",Bogotá ,938305551,,rebelde@intercom.es,,Hombre,23/03/1958,Divorciado/a,4,FALSO,,Licenciado/a,"$1,500,000.00",,83,1.73,Calvo,Verdes,FALSO,Buena,Lectura,Música,Romanticismo,Realismo,Serenidad,Ternura,,Homosexual,VERDADERO
94,CANO GÓMEZ,GERARD,"ALBÉNIZ , 13, 2N., 1A.",Medellín,936577225,,,,Hombre,04/11/1966,Otros,5,FALSO,Asesor/a fiscal,Doctor/a,"$1,200,000.00",,69,1.72,Otros,Verdes,VERDADERO,Buena,Caminar,Deporte,Inteligencia,Fortaleza,Serenidad,Ternura,,Heterosexual,VERDADERO
95,ALCAIDE MOLINA,MARTA,"FONT DEL GAT , 1",Bogotá ,938773647,632544145,,Persona Pública,Mujer,17/07/1967,Separado/a,4,FALSO,Camarero/a,Elementales,"$400,000.00",,73,1.72,Castaño,Marrones,FALSO,Regular,Deporte,Cine,Romanticismo,Alegría,Inteligencia,Ternura,,No declarada,FALSO
96,AGUILERA PRAT,MIREIA,"MONTCAU , 1",Barranquilla,938208054,,rene@intercom.es,,Mujer,16/02/1966,Soltero/a,0,VERDADERO,,Elementales,"$600,000.00",24100,90,1.57,Negro,Marrones,FALSO,Buena,Deporte,Caminar,Sencillez,Fortaleza,Ternura,Ternura,,No declarada,VERDADERO
97,ALAPONT ICART,ELOI,"MONTURIOL , 1",Bogotá ,938208054,658789875,,,Hombre,09/03/1966,Soltero/a,0,VERDADERO,,EGB,"$1,300,000.00",102200,58,1.61,Rubio,Marrones,FALSO,Buena,Cine,Música,Realismo,Sinceridad,Sinceridad,Sinceridad,,Homosexual,VERDADERO
98,RIVERO FLORIDO,ANNA,"VILATORRADA , 6",Bogotá ,930712563,654112144,rica@terra.es,La trae su madre,Mujer,23/03/1969,Casado/a,0,FALSO,Comercial,Diplomado/a,"$7,000,000.00",,102,1.84,Otros,Marrones,FALSO,Fatal,Música,TV,Sinceridad,Romanticismo,Inteligencia,Sinceridad,,Bisexual,VERDADERO
99,AVILA MASJUAN,ALBA,"JAUME GALOBART , 11",Barranquilla,938204078,,rockera@terra.es,,Mujer,22/09/1957,Otros,5,FALSO,Camarero/a,EGB,"$500,000.00",,76,1.57,Otros,Negros,VERDADERO,Regular,Lectura,TV,Ternura,Fortaleza,Buen Humor,Alegría,,Bisexual,VERDADERO
100,GRANADOS ANDRÉS,SANDRA,"SANT GENÍS , 25",Bogotá ,936871045,,,Mucha discreción,Mujer,15/11/1961,Divorciado/a,4,FALSO,Camarero/a,Bachillerato,"$1,500,000.00",,51,1.61,Calvo,Marrones,FALSO,Regular,Caminar,Deporte,Alegría,Sinceridad,Serenidad,Sencillez,,Heterosexual,VERDADERO
101,FERRER GASSET,ERIC,"VERGE DE FÀTIMA , 2, 3R., 1A.",Pasto,938745211,,roman@wandoo.es,,Hombre,15/04/1960,Otros,4,FALSO,Recepcionista,EGB,"$1,400,000.00",,62,1.68,Castaño,Negros,VERDADERO,Buena,Deporte,Caminar,Alegría,Sinceridad,Alegría,Sinceridad,,Homosexual,VERDADERO
102,AMIGO MODREGO,LLUÍS,"JAUME I , 10",Bogotá ,938300065,654401401,,,Hombre,18/11/1965,Divorciado/a,4,FALSO,Comercial,EGB,"$7,000,000.00",,98,1.75,Rubio,Azules,FALSO,Buena,TV,Cine,Sencillez,Fortaleza,Sinceridad,Alegría,,Homosexual,FALSO
103,ABDIN TATJÈ,CRISTIAN,"SANT JOAN , 0, C, 1R., B",Pasto,938208674,,romeo@intercom.es,,Hombre,08/12/1959,Casado/a,2,FALSO,Asesor/a fiscal,Elementales,"$1,100,000.00",,76,1.63,Calvo,Marrones,VERDADERO,Excelente,Lectura,TV,Realismo,Fortaleza,Alegría,Romanticismo,Las mujeres,Heterosexual,VERDADERO
104,CANELLAS GOMEZ,GUILLEM,"JACINT VERDAGUER , 13",Bogotá ,930214054,,,,Hombre,30/03/1967,Separado/a,1,FALSO,Administrativo/a,Elementales,"$400,000.00",,68,1.87,Calvo,Verdes,FALSO,Regular,Música,TV,Inteligencia,Buen Humor,Serenidad,Realismo,,Heterosexual,VERDADERO
105,HIDALGO ALTIMIRAS,DIMAS,"SANT BENET , 28, 2N., 2A.",Bogotá ,936521404,602120214,ronc@cataloniamail.com,,Hombre,14/07/1964,Otros,0,VERDADERO,,Bachillerato,"$1,400,000.00",66800,89,1.61,Rubio,Marrones,FALSO,Buena,Deporte,Música,Ternura,Buen Humor,Alegría,Inteligencia,,Heterosexual,VERDADERO
106,BASTARDAS FRANCH,ANA INÉS,"FONERIA , 12",Medellín,938350593,,sabrosa@hotmail.com,,Mujer,03/01/1962,Casado/a,3,FALSO,Abogado/a,FP,"$1,000,400.00",,96,1.82,Negro,Marrones,FALSO,Regular,TV,Música,Alegría,Inteligencia,Alegría,Sencillez,Viajar en avión,Heterosexual,VERDADERO
107,ABADIAS MASANA,IVET,"ALFONS XII , 9, 4T 1A",Bogotá ,939962045,622101451,salsa@cataloniamail.com,,Mujer,22/05/1959,Casado/a,4,FALSO,Camarero/a,EGB,"$1,100,000.00",,105,1.55,Castaño,Azules,FALSO,Buena,Lectura,#N/A,Serenidad,Inteligencia,Sinceridad,Sinceridad,Viajar en avión,Heterosexual,VERDADERO
108,AREVALO SANCHEZ,JÚLIA,"JAUME I , 10",Bogotá ,938755603,654874412,,,Mujer,17/09/1968,Casado/a,3,FALSO,Recepcionista,FP,"$1,300,000.00",,99,1.59,Castaño,Marrones,VERDADERO,Regular,Lectura,Deporte,Serenidad,Buen Humor,Sinceridad,Serenidad,,No declarada,FALSO
109,ALINS MULET,DANIEL,"DE LA PESCA , 1, 1R., 2A.",Medellín,938305524,610025001,,Mucha discreción,Hombre,02/03/1958,Casado/a,3,FALSO,Conductor/a,Elementales,"$700,000.00",,86,1.6,Rubio,Verdes,FALSO,Regular,Deporte,Caminar,Ternura,Sinceridad,Inteligencia,Romanticismo,,Heterosexual,VERDADERO
110,GARCIA GONZÁLEZ,ABEL,"PIRINEUS , 22",Bogotá ,936571974,,sincer@altecom.es,,Hombre,30/07/1967,Soltero/a,5,VERDADERO,Camarero/a,Licenciado/a,"$1,600,000.00",8500,83,1.89,Pelirrojo,Azules,VERDADERO,Regular,Cine,Deporte,Fortaleza,Ternura,Serenidad,Romanticismo,,Homosexual,VERDADERO
111,ALVAREZ PARCERISA,IRENE,"PROL. JACINT VERDAGUER , 1, 3R., 2A.",Bogotá ,938300036,,sincera@hotmail.com,,Mujer,20/07/1965,Divorciado/a,2,VERDADERO,,EGB,"$3,000,000.00",68000,98,1.66,Otros,Azules,FALSO,Regular,Caminar,Lectura,Inteligencia,Sencillez,Sinceridad,Alegría,Los entierros,Bisexual,FALSO
112,CASAS ANDRÉS,ADRIÀ,"JAUME GALOBART , 14",Bogotá ,936505455,,suau@hotmail.com,,Hombre,01/09/1959,Separado/a,3,FALSO,,Elementales,"$1,300,000.00",,100,1.84,Castaño,Negros,VERDADERO,Regular,TV,Lectura,Ternura,Sencillez,Serenidad,Alegría,,Homosexual,VERDADERO
113,MORALES GESE,JAIRO,"SANT JOAN, EDIFICI D , 3R A",Medellín,936587454,600541125,superman@altecom.es,,Hombre,15/05/1963,Separado/a,2,FALSO,Funcionario/a,Bachillerato,"$1,300,000.00",,85,1.78,Pelirrojo,Negros,FALSO,Fatal,TV,#N/A,Ternura,Romanticismo,Inteligencia,Inteligencia,,No declarada,VERDADERO
114,BARALDÉS MARTORELL,CRISTINA,"VIC , 119, 3R., 2A.",Bogotá ,938725845,,superwoman@wandoo.es,,Mujer,30/10/1963,Soltero/a,3,FALSO,Conductor/a,Diplomado/a,"$1,500,000.00",,101,1.86,Calvo,Azules,FALSO,Excelente,TV,Cine,Alegría,Buen Humor,Buen Humor,Realismo,,Homosexual,VERDADERO
115,AROCA GÓMEZ,DAVID,"CARLES BUÏGAS , 10, 1R., 1A.",Bogotá ,938205730,,tablon@hotmail.com,Mucha discreción,Hombre,23/10/1957,Casado/a,2,FALSO,Recepcionista,EGB,"$900,000.00",,58,1.83,Otros,Negros,FALSO,Buena,Música,Caminar,Alegría,Buen Humor,Realismo,Serenidad,,Homosexual,VERDADERO
116,RUEDA ALVAREZ,ADRIÀ,"JAUME BALMES , 67, 2N.",Barranquilla ,936828258,,tendre@terra.es,,Hombre,25/12/1961,Otros,5,FALSO,,Elementales,"$1,500,000.00",,76,1.71,Pelirrojo,Verdes,FALSO,Buena,Cine,Lectura,Sinceridad,Romanticismo,Inteligencia,Serenidad,,Homosexual,VERDADERO
117,ALVAREZ DOMENECH,LUCIA,"PROL. PADRÓ , 1, 3R., 2A.",Medellín,938300045,,teta@intercom.es,,Mujer,13/11/1968,Casado/a,2,FALSO,Administrativo/a,Elementales,"$400,000.00",,62,1.58,Otros,Otro,VERDADERO,Regular,Deporte,Cine,Romanticismo,Buen Humor,Fortaleza,Sinceridad,,Homosexual,VERDADERO
118,BOIX GONZÁLEZ,CARLA,"DE LA CAÇA , 12, 2N., C",Bogotá ,936521452,624487554,tomasa@hotmail.com,,Mujer,29/05/1963,Casado/a,5,FALSO,,Licenciado/a,"$700,000.00",,49,1.55,Castaño,Marrones,FALSO,Buena,TV,Música,Sinceridad,Alegría,Romanticismo,Sencillez,Los hospitales,No declarada,VERDADERO
119,BARALDÉS MONRÓS,ADRIÀ,"VIC , 119, 2N., 1A.",Pasto ,938725885,,,,Hombre,12/01/1968,Divorciado/a,3,VERDADERO,Funcionario/a,FP,"$110,000.00",90800,62,1.58,Calvo,Marrones,VERDADERO,Regular,Caminar,TV,Alegría,Buen Humor,Inteligencia,Alegría,Los hospitales,Bisexual,VERDADERO
120,AGUILERA MERINO,MARTA,"MORAGUES , 1",Medellín,938208303,621145584,tremenda@altecom.es,,Mujer,27/09/1964,Separado/a,2,FALSO,Comercial,Bachillerato,$0.00,,75,1.77,Pelirrojo,Otro,FALSO,Regular,TV,Música,Serenidad,Alegría,Sinceridad,Sencillez,,Heterosexual,VERDADERO
121,BAREA D'HAENE,MARC,"TRABUCAIRES , 12",Bogotá ,938360213,,tripa@intercom.es,,Hombre,07/05/1958,Casado/a,1,FALSO,Administrativo/a,EGB,"$1,600,000.00",,74,1.58,Pelirrojo,Marrones,FALSO,Fatal,Caminar,Cine,Sinceridad,Serenidad,Sencillez,Buen Humor,,Homosexual,VERDADERO
122,BARROSO D'HAENE,ALEX,"FONERIA , 12",Pasto,938320537,,verruga@hotmail.com,,Hombre,13/09/1961,Divorciado/a,3,FALSO,Administrativo/a,Elementales,"$7,000,000.00",,76,1.65,Calvo,Verdes,FALSO,Buena,TV,Lectura,Alegría,Romanticismo,Sinceridad,Ternura,,Heterosexual,VERDADERO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
